"price";"from";"to";"image";"company";"url";"departure_date"
659.0;" Paraíba ";" Cuiabá ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/cuiaba-mato-grosso.jpg ";" Latam ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=05-05-2017&Destino=CGB&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=0&NumINF=0&Origem=JPA&Proximity=Cuiaba&ProximityId=2703037&RoundTrip=0&SomenteDireto=false&searchtype=Air ";"2017-05-05"
462.0;" Paraíba ";" Campo Grande ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/campo-grande-lago-prosa-parque-das-nacoes-indigenas-mato-grosso-do-sul.jpg ";" Avianca ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=08-05-2017&Data=08-05-2017&Destino=CGR&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=1&NumINF=0&Origem=JPA&Proximity=&ProximityId=0&RoundTrip=0&SomenteDireto=false&searchtype=Air ";"2017-05-08"
469.0;" Cuiabá ";" Recife ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/recife-praia-boa-viagem-pernambuco.jpg ";" Latam ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=30-05-2017&Destino=REC&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=0&NumINF=0&Origem=CGB&Proximity=&ProximityId=0&RoundTrip=0&SomenteDireto=false&searchtype=Air ";"2017-05-30"
555.0;" Cuiabá ";" Rio Branco ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/rio-branco-mercado-velho-acre.jpg ";" Latam ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=31-12-2017&Destino=RBR&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=2&NumCHD=1&NumINF=1&Origem=CGB&Proximity=&ProximityId=0&RoundTrip=0&SomenteDireto=false&searchtype=Air ";"2017-12-31"
220.0;" Cuiabá ";" Rio de Janeiro ";" http://ofertas.submarinoviagens.com.br/Marketing/genericas/1200x628/generico_aviao1.jpg ";" Gol ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=26-07-2017&Destino=RIO&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=0&NumINF=0&Origem=CGB&Proximity=&ProximityId=0&RoundTrip=0&SomenteDireto=false&searchtype=Air ";"2017-07-26"
1345.0;" Paraíba ";" Buenos Aires ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/buenos-aires-puente-mujer-argentina.jpg ";" LAN ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=11-05-2017&Data=18-05-2017&Destino=BUE&Destino=JPA&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=0&NumINF=0&Origem=JPA&Origem=BUE&Proximity=&ProximityId=0&RoundTrip=1&SomenteDireto=false&searchtype=Air ";"2017-05-11"
343.0;" Paraíba ";" Brasília ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/brasilia-congresso-nacional-distrito-federal.jpg ";" Latam ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=06-09-2017&Destino=BSB&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=1&NumINF=0&Origem=JPA&Proximity=&ProximityId=0&RoundTrip=0&SomenteDireto=false&searchtype=Air ";"2017-09-06"
2066.0;" Paraíba ";" San Carlos de Bariloche ";" http://ofertas.submarinoviagens.com.br/Marketing/genericas/1200x628/generico_aviao1.jpg ";" Latam ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=21-08-2017&Data=31-08-2017&Destino=BRC&Destino=JPA&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=0&NumINF=0&Origem=JPA&Origem=BRC&Proximity=&ProximityId=0&RoundTrip=1&SomenteDireto=false&searchtype=Air ";"2017-08-21"
2036.0;" Paraíba ";" Bogotá ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/bogota-la-candelaria-colombia.jpg ";" LAN ";" https://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=22/06/2017&Data=26/06/2017&Destino=BOG&Destino=JPA&ExecutiveFlight=false&Hora=&Hora=&NumADT=1&NumCHD=0&NumINF=0&Origem=JPA&Origem=BOG&RoundTrip=1&SomenteDireto=false&searchtype=Air ";"2017-06-22"
3307.0;" Paraíba ";" Boston ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/boston-quincy-market-estados-unidos.jpg ";" Azul ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=07-08-2017&Data=31-08-2017&Destino=BOS&Destino=JPA&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=0&NumINF=0&Origem=JPA&Origem=BOS&Proximity=&ProximityId=0&RoundTrip=1&SomenteDireto=false&searchtype=Air ";"2017-08-07"
